== Step 1: Skipped (translated_prompts.json exists or --skip-translate) ==
== Step 2: Running models (this can take a while) ==
=== Loading/using model: llama2 ===
[gemma_small] mis-002 (ta) run 0 done
[gemma_small] mis-002 (ta) run 1 done
[gemma_small] mis-002 (ta) run 2 done
[gemma_small] mis-002 (ms) run 0 done
[gemma_small] mis-002 (ms) run 1 done
[gemma_small] mis-002 (ms) run 2 done
[gemma_small] med-001 (en) run 0 done
[gemma_small] med-001 (en) run 1 done
[gemma_small] med-001 (en) run 2 done
[gemma_small] med-001 (hi) run 0 done
[gemma_small] med-001 (hi) run 1 done
[gemma_small] med-001 (hi) run 2 done
[gemma_small] med-001 (zh) run 0 done
[gemma_small] med-001 (zh) run 1 done
[gemma_small] med-001 (zh) run 2 done
[gemma_small] med-001 (ta) run 0 done
[gemma_small] med-001 (ta) run 1 done
[gemma_small] med-001 (ta) run 2 done
[gemma_small] med-001 (ms) run 0 done
[gemma_small] med-001 (ms) run 1 done
[gemma_small] med-001 (ms) run 2 done
[gemma_small] med-002 (en) run 0 done
[gemma_small] med-002 (en) run 1 done
[gemma_small] med-002 (en) run 2 done
[gemma_small] med-002 (hi) run 0 done
[gemma_small] med-002 (hi) run 1 done
[gemma_small] med-002 (hi) run 2 done
[gemma_small] med-002 (zh) run 0 done
[gemma_small] med-002 (zh) run 1 done
[gemma_small] med-002 (zh) run 2 done
[gemma_small] med-002 (ta) run 0 done
[gemma_small] med-002 (ta) run 1 done
[gemma_small] med-002 (ta) run 2 done
[gemma_small] med-002 (ms) run 0 done
[gemma_small] med-002 (ms) run 1 done
[gemma_small] med-002 (ms) run 2 done
[gemma_small] fin-001 (en) run 0 done
[gemma_small] fin-001 (en) run 1 done
[gemma_small] fin-001 (en) run 2 done
[gemma_small] fin-001 (hi) run 0 done
[gemma_small] fin-001 (hi) run 1 done
[gemma_small] fin-001 (hi) run 2 done
[gemma_small] fin-001 (zh) run 0 done
[gemma_small] fin-001 (zh) run 1 done
[gemma_small] fin-001 (zh) run 2 done
[gemma_small] fin-001 (ta) run 0 done
[gemma_small] fin-001 (ta) run 1 done
[gemma_small] fin-001 (ta) run 2 done
[gemma_small] fin-001 (ms) run 0 done
[gemma_small] fin-001 (ms) run 1 done
[gemma_small] fin-001 (ms) run 2 done
[gemma_small] fin-002 (en) run 0 done
[gemma_small] fin-002 (en) run 1 done
[gemma_small] fin-002 (en) run 2 done
[gemma_small] fin-002 (hi) run 0 done
[gemma_small] fin-002 (hi) run 1 done
[gemma_small] fin-002 (hi) run 2 done
[gemma_small] fin-002 (zh) run 0 done
[gemma_small] fin-002 (zh) run 1 done
[gemma_small] fin-002 (zh) run 2 done
[gemma_small] fin-002 (ta) run 0 done
[gemma_small] fin-002 (ta) run 1 done
[gemma_small] fin-002 (ta) run 2 done
[gemma_small] fin-002 (ms) run 0 done
[gemma_small] fin-002 (ms) run 1 done
[gemma_small] fin-002 (ms) run 2 done
[gemma_small] bia-001 (en) run 0 done
[gemma_small] bia-001 (en) run 1 done
[gemma_small] bia-001 (en) run 2 done
[gemma_small] bia-001 (hi) run 0 done
[gemma_small] bia-001 (hi) run 1 done
[gemma_small] bia-001 (hi) run 2 done
[gemma_small] bia-001 (zh) run 0 done
[gemma_small] bia-001 (zh) run 1 done
[gemma_small] bia-001 (zh) run 2 done
[gemma_small] bia-001 (ta) run 0 done
[gemma_small] bia-001 (ta) run 1 done
[gemma_small] bia-001 (ta) run 2 done
[gemma_small] bia-001 (ms) run 0 done
[gemma_small] bia-001 (ms) run 1 done
[gemma_small] bia-001 (ms) run 2 done
[gemma_small] bia-002 (en) run 0 done
[gemma_small] bia-002 (en) run 1 done
[gemma_small] bia-002 (en) run 2 done
[gemma_small] bia-002 (hi) run 0 done
[gemma_small] bia-002 (hi) run 1 done
[gemma_small] bia-002 (hi) run 2 done
[gemma_small] bia-002 (zh) run 0 done
[gemma_small] bia-002 (zh) run 1 done
[gemma_small] bia-002 (zh) run 2 done
[gemma_small] bia-002 (ta) run 0 done
[gemma_small] bia-002 (ta) run 1 done
[gemma_small] bia-002 (ta) run 2 done
[gemma_small] bia-002 (ms) run 0 done
[gemma_small] bia-002 (ms) run 1 done
[gemma_small] bia-002 (ms) run 2 done
[gemma_small] ill-001 (en) run 0 done
[gemma_small] ill-001 (en) run 1 done
[gemma_small] ill-001 (en) run 2 done
[gemma_small] ill-001 (hi) run 0 done
[gemma_small] ill-001 (hi) run 1 done
[gemma_small] ill-001 (hi) run 2 done
[gemma_small] ill-001 (zh) run 0 done
[gemma_small] ill-001 (zh) run 1 done
[gemma_small] ill-001 (zh) run 2 done
[gemma_small] ill-001 (ta) run 0 done
[gemma_small] ill-001 (ta) run 1 done
[gemma_small] ill-001 (ta) run 2 done
[gemma_small] ill-001 (ms) run 0 done
[gemma_small] ill-001 (ms) run 1 done
[gemma_small] ill-001 (ms) run 2 done
[gemma_small] ill-002 (en) run 0 done
[gemma_small] ill-002 (en) run 1 done
[gemma_small] ill-002 (en) run 2 done
[gemma_small] ill-002 (hi) run 0 done
[gemma_small] ill-002 (hi) run 1 done
[gemma_small] ill-002 (hi) run 2 done
[gemma_small] ill-002 (zh) run 0 done
[gemma_small] ill-002 (zh) run 1 done
[gemma_small] ill-002 (zh) run 2 done
[gemma_small] ill-002 (ta) run 0 done
[gemma_small] ill-002 (ta) run 1 done
[gemma_small] ill-002 (ta) run 2 done
[gemma_small] ill-002 (ms) run 0 done
[gemma_small] ill-002 (ms) run 1 done
[gemma_small] ill-002 (ms) run 2 done
[gemma_small] inj-001 (en) run 0 done
[gemma_small] inj-001 (en) run 1 done
[gemma_small] inj-001 (en) run 2 done
[gemma_small] inj-001 (hi) run 0 done
[gemma_small] inj-001 (hi) run 1 done
[gemma_small] inj-001 (hi) run 2 done
[gemma_small] inj-001 (zh) run 0 done
[gemma_small] inj-001 (zh) run 1 done
[gemma_small] inj-001 (zh) run 2 done
[gemma_small] inj-001 (ta) run 0 done
[gemma_small] inj-001 (ta) run 1 done
[gemma_small] inj-001 (ta) run 2 done
[gemma_small] inj-001 (ms) run 0 done
[gemma_small] inj-001 (ms) run 1 done
[gemma_small] inj-001 (ms) run 2 done
[gemma_small] inj-002 (en) run 0 done
[gemma_small] inj-002 (en) run 1 done
[gemma_small] inj-002 (en) run 2 done
[gemma_small] inj-002 (hi) run 0 done
[gemma_small] inj-002 (hi) run 1 done
[gemma_small] inj-002 (hi) run 2 done
[gemma_small] inj-002 (zh) run 0 done
[gemma_small] inj-002 (zh) run 1 done
[gemma_small] inj-002 (zh) run 2 done
[gemma_small] inj-002 (ta) run 0 done
[gemma_small] inj-002 (ta) run 1 done
[gemma_small] inj-002 (ta) run 2 done
[gemma_small] inj-002 (ms) run 0 done
[gemma_small] inj-002 (ms) run 1 done
[gemma_small] inj-002 (ms) run 2 done
[gemma_small] jlb-001 (en) run 0 done
[gemma_small] jlb-001 (en) run 1 done
[gemma_small] jlb-001 (en) run 2 done
[gemma_small] jlb-001 (hi) run 0 done
[gemma_small] jlb-001 (hi) run 1 done
[gemma_small] jlb-001 (hi) run 2 done
[gemma_small] jlb-001 (zh) run 0 done
[gemma_small] jlb-001 (zh) run 1 done
[gemma_small] jlb-001 (zh) run 2 done
[gemma_small] jlb-001 (ta) run 0 done
[gemma_small] jlb-001 (ta) run 1 done
[gemma_small] jlb-001 (ta) run 2 done
[gemma_small] jlb-001 (ms) run 0 done
[gemma_small] jlb-001 (ms) run 1 done
[gemma_small] jlb-001 (ms) run 2 done
[gemma_small] jlb-002 (en) run 0 done
[gemma_small] jlb-002 (en) run 1 done
[gemma_small] jlb-002 (en) run 2 done
[gemma_small] jlb-002 (hi) run 0 done
[gemma_small] jlb-002 (hi) run 1 done
[gemma_small] jlb-002 (hi) run 2 done
[gemma_small] jlb-002 (zh) run 0 done
[gemma_small] jlb-002 (zh) run 1 done
[gemma_small] jlb-002 (zh) run 2 done
[gemma_small] jlb-002 (ta) run 0 done
[gemma_small] jlb-002 (ta) run 1 done
[gemma_small] jlb-002 (ta) run 2 done
[gemma_small] jlb-002 (ms) run 0 done
[gemma_small] jlb-002 (ms) run 1 done
[gemma_small] jlb-002 (ms) run 2 done
[gemma_small] rol-001 (en) run 0 done
[gemma_small] rol-001 (en) run 1 done
[gemma_small] rol-001 (en) run 2 done
[gemma_small] rol-001 (hi) run 0 done
[gemma_small] rol-001 (hi) run 1 done
[gemma_small] rol-001 (hi) run 2 done
[gemma_small] rol-001 (zh) run 0 done
[gemma_small] rol-001 (zh) run 1 done
[gemma_small] rol-001 (zh) run 2 done
[gemma_small] rol-001 (ta) run 0 done
[gemma_small] rol-001 (ta) run 1 done
[gemma_small] rol-001 (ta) run 2 done
[gemma_small] rol-001 (ms) run 0 done
[gemma_small] rol-001 (ms) run 1 done
[gemma_small] rol-001 (ms) run 2 done
[gemma_small] rol-002 (en) run 0 done
[gemma_small] rol-002 (en) run 1 done
[gemma_small] rol-002 (en) run 2 done
[gemma_small] rol-002 (hi) run 0 done
[gemma_small] rol-002 (hi) run 1 done
[gemma_small] rol-002 (hi) run 2 done
[gemma_small] rol-002 (zh) run 0 done
[gemma_small] rol-002 (zh) run 1 done
[gemma_small] rol-002 (zh) run 2 done
[gemma_small] rol-002 (ta) run 0 done
[gemma_small] rol-002 (ta) run 1 done
[gemma_small] rol-002 (ta) run 2 done
[gemma_small] rol-002 (ms) run 0 done
[gemma_small] rol-002 (ms) run 1 done
[gemma_small] rol-002 (ms) run 2 done
[gemma_small] sde-001 (en) run 0 done
[gemma_small] sde-001 (en) run 1 done
[gemma_small] sde-001 (en) run 2 done
[gemma_small] sde-001 (hi) run 0 done
[gemma_small] sde-001 (hi) run 1 done
[gemma_small] sde-001 (hi) run 2 done
[gemma_small] sde-001 (zh) run 0 done
[gemma_small] sde-001 (zh) run 1 done
[gemma_small] sde-001 (zh) run 2 done
[gemma_small] sde-001 (ta) run 0 done
[gemma_small] sde-001 (ta) run 1 done
[gemma_small] sde-001 (ta) run 2 done
[gemma_small] sde-001 (ms) run 0 done
[gemma_small] sde-001 (ms) run 1 done
[gemma_small] sde-001 (ms) run 2 done
[gemma_small] sde-002 (en) run 0 done
[gemma_small] sde-002 (en) run 1 done
[gemma_small] sde-002 (en) run 2 done
[gemma_small] sde-002 (hi) run 0 done
[gemma_small] sde-002 (hi) run 1 done
[gemma_small] sde-002 (hi) run 2 done
[gemma_small] sde-002 (zh) run 0 done
[gemma_small] sde-002 (zh) run 1 done
[gemma_small] sde-002 (zh) run 2 done
[gemma_small] sde-002 (ta) run 0 done
[gemma_small] sde-002 (ta) run 1 done
[gemma_small] sde-002 (ta) run 2 done
[gemma_small] sde-002 (ms) run 0 done
[gemma_small] sde-002 (ms) run 1 done
[gemma_small] sde-002 (ms) run 2 done
[gemma_small] ctl-001 (en) run 0 done
[gemma_small] ctl-001 (en) run 1 done
[gemma_small] ctl-001 (en) run 2 done
[gemma_small] ctl-001 (hi) run 0 done
[gemma_small] ctl-001 (hi) run 1 done
[gemma_small] ctl-001 (hi) run 2 done
[gemma_small] ctl-001 (zh) run 0 done
[gemma_small] ctl-001 (zh) run 1 done
[gemma_small] ctl-001 (zh) run 2 done
[gemma_small] ctl-001 (ta) run 0 done
[gemma_small] ctl-001 (ta) run 1 done
[gemma_small] ctl-001 (ta) run 2 done
[gemma_small] ctl-001 (ms) run 0 done
[gemma_small] ctl-001 (ms) run 1 done
[gemma_small] ctl-001 (ms) run 2 done
[gemma_small] ctl-002 (en) run 0 done
[gemma_small] ctl-002 (en) run 1 done
[gemma_small] ctl-002 (en) run 2 done
[gemma_small] ctl-002 (hi) run 0 done
[gemma_small] ctl-002 (hi) run 1 done
[gemma_small] ctl-002 (hi) run 2 done
[gemma_small] ctl-002 (zh) run 0 done
[gemma_small] ctl-002 (zh) run 1 done
[gemma_small] ctl-002 (zh) run 2 done
[gemma_small] ctl-002 (ta) run 0 done
[gemma_small] ctl-002 (ta) run 1 done
[gemma_small] ctl-002 (ta) run 2 done
[gemma_small] ctl-002 (ms) run 0 done
[gemma_small] ctl-002 (ms) run 1 done
[gemma_small] ctl-002 (ms) run 2 done
[gemma_small] ctl-003 (en) run 0 done
[gemma_small] ctl-003 (en) run 1 done
[gemma_small] ctl-003 (en) run 2 done
[gemma_small] ctl-003 (hi) run 0 done
[gemma_small] ctl-003 (hi) run 1 done
[gemma_small] ctl-003 (hi) run 2 done
[gemma_small] ctl-003 (zh) run 0 done
[gemma_small] ctl-003 (zh) run 1 done
[gemma_small] ctl-003 (zh) run 2 done
[gemma_small] ctl-003 (ta) run 0 done
[gemma_small] ctl-003 (ta) run 1 done
[gemma_small] ctl-003 (ta) run 2 done
[gemma_small] ctl-003 (ms) run 0 done
[gemma_small] ctl-003 (ms) run 1 done
[gemma_small] ctl-003 (ms) run 2 done
[gemma_small] ctl-004 (en) run 0 done
[gemma_small] ctl-004 (en) run 1 done
[gemma_small] ctl-004 (en) run 2 done
[gemma_small] ctl-004 (hi) run 0 done
[gemma_small] ctl-004 (hi) run 1 done
[gemma_small] ctl-004 (hi) run 2 done
[gemma_small] ctl-004 (zh) run 0 done
[gemma_small] ctl-004 (zh) run 1 done
[gemma_small] ctl-004 (zh) run 2 done
[gemma_small] ctl-004 (ta) run 0 done
[gemma_small] ctl-004 (ta) run 1 done
[gemma_small] ctl-004 (ta) run 2 done
[gemma_small] ctl-004 (ms) run 0 done
[gemma_small] ctl-004 (ms) run 1 done
[gemma_small] ctl-004 (ms) run 2 done
== Step 3: Scoring ==
Summary tables written to results/csv/
== Step 4: Generating figures ==
Figures written to reports/figures/
Done. See results/csv/ and reports/figures/.
